miRNA	precursor	p50_ac1	p50_ac2	p50_ac3	p50_ck1	p50_ck2	p50_ck3
bmo-miR-10-3p	dwi-mir-10	0	0	1	0	0	0
bmo-miR-2a-3p	dwi-mir-2a-1	0	0	3	0	1	8
bmo-miR-79-3p	dya-mir-79	0	0	4	0	11	3
bmo-miR-7-5p	eca-mir-7-2	0	0	1	0	2	0
bmo-miR-7-5p	eca-mir-7-3	0	0	1	0	0	0
bmo-miR-7-5p	efu-mir-7c	0	0	1	0	1	1
bmo-miR-7-5p	ggo-mir-7-3	0	0	1	0	1	0
bmo-let-7-5p	gmo-let-7a-1	0	0	2	0	2	2
bmo-miR-7-5p	gmo-mir-7c	0	0	2	0	0	0
bmo-miR-71-3p	hme-mir-71	0	0	1	0	0	0
bmo-let-7-5p	hpo-let-7	0	0	2	0	2	2
bmo-miR-7-5p	hsa-mir-7-3	0	0	1	0	1	0
bmo-miR-2a-3p	isc-mir-2a	0	0	1	0	0	2
bmo-miR-7-5p	isc-mir-7	0	0	1	0	2	2
bmo-miR-7-5p	mml-mir-7-3	0	0	1	0	1	0
bmo-miR-14-3p	mse-mir-14	0	0	4	0	4	2
bmo-miR-275-3p	mse-mir-275	0	0	2	0	2	2
bmo-miR-307-3p	mse-mir-307	0	0	1	0	0	1
bmo-miR-7-5p	mse-mir-7	0	0	1	0	3	0
bmo-miR-71-3p	mse-mir-71	0	0	1	0	0	0
bmo-miR-965-3p	mse-mir-965	0	0	1	0	0	0
bmo-let-7-5p	mze-let-7a-5	0	0	2	0	2	2
bmo-miR-7-5p	mze-mir-7b	0	0	2	0	1	0
bmo-let-7-5p	nbr-let-7a-5	0	0	2	0	2	2
bmo-miR-7-5p	nbr-mir-7-3	0	0	2	0	1	0
bmo-miR-276-3p	ngi-mir-276	0	0	4	0	2	5
bmo-miR-276-3p	nvi-mir-276	0	0	4	0	2	5
bmo-miR-7-5p	oan-mir-7-1	0	0	1	0	0	0
bmo-let-7-5p	ola-let-7a-4	0	0	2	0	2	2
bmo-miR-7-5p	ola-mir-7	0	0	2	0	1	0
bmo-let-7-5p	oni-let-7a-5	0	0	2	0	2	2
bmo-miR-7-5p	oni-mir-7-3	0	0	2	0	1	0
bmo-miR-7-5p	pal-mir-7b-2	0	0	1	0	1	0
bmo-miR-7-5p	pbv-mir-7-3	0	0	1	0	2	1
bmo-miR-100	pma-mir-100a	0	0	1	0	3	5
bmo-let-7-5p	pny-let-7a-5	0	0	2	0	2	2
bmo-miR-7-5p	pny-mir-7-3	0	0	2	0	1	0
bmo-miR-7-5p	ppa-mir-7-3	0	0	1	0	1	0
bmo-miR-7-5p	ppy-mir-7-3	0	0	1	0	1	0
bmo-miR-7-5p	ptr-mir-7-3	0	0	1	0	1	0
bmo-miR-965-3p	pxy-mir-965	0	0	2	0	0	0
bmo-miR-2a-3p	sfr-mir-2b	0	0	1	0	1	1
bmo-miR-307-3p	sfr-mir-307	0	0	1	0	0	1
bmo-miR-7-5p	sfr-mir-7	0	0	1	0	2	0
bmo-let-7-5p	ssa-let-7a-1	0	0	2	0	2	2
bmo-miR-275-3p	tca-mir-275	0	0	3	0	0	2
bmo-miR-2765	tca-mir-2765	0	0	1	0	0	0
bmo-miR-317-3p	tca-mir-317	0	0	2	0	0	0
bmo-miR-7-5p	tch-mir-7-1	0	0	1	0	1	0
bmo-miR-7-5p	tgu-mir-7-4	0	0	1	0	0	0
bmo-let-7-5p	abu-let-7a-2	0	0	0	0	1	0
bmo-let-7-5p	abu-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	abu-let-7a-4	0	0	0	0	1	0
bmo-let-7-5p	aca-let-7a-2	0	0	0	0	3	0
bmo-miR-8-5p	aga-mir-8	0	0	0	0	2	1
bmo-miR-8-5p	ame-mir-8	0	0	0	0	4	2
bmo-let-7-5p	ami-let-7a-4	0	0	0	0	3	0
bmo-miR-276-3p	api-mir-276	0	0	0	0	2	5
bmo-miR-100	bmo-mir-100	0	0	0	0	4	9
bmo-miR-278-3p	bmo-mir-278	0	0	0	0	1	0
bmo-let-7-5p	bta-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	cel-let-7	0	0	0	0	3	0
bmo-let-7-5p	cfa-let-7a-1	0	0	0	0	3	0
bmo-let-7-5p	chi-let-7a	0	0	0	0	3	0
bmo-let-7-5p	cja-let-7a-2	0	0	0	0	3	0
bmo-let-7-5p	cli-let-7a-4	0	0	0	0	3	0
bmo-let-7-5p	cpi-let-7a-4	0	0	0	0	3	0
bmo-let-7-5p	cpo-let-7a-1	0	0	0	0	1	0
bmo-let-7-5p	cpo-let-7a-3	0	0	0	0	3	0
bmo-miR-276-3p	dan-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dan-mir-2a-1	0	0	0	0	1	0
bmo-miR-276-3p	der-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	der-mir-2a-1	0	0	0	0	1	0
bmo-miR-2a-3p	dgr-mir-2a-1	0	0	0	0	1	0
bmo-let-7-5p	dma-let-7a-1	0	0	0	0	3	0
bmo-miR-276-3p	dme-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dme-mir-2a-1	0	0	0	0	1	0
bmo-miR-276-3p	dmo-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dmo-mir-2a-1	0	0	0	0	1	0
bmo-let-7-5p	dno-let-7a	0	0	0	0	1	0
bmo-miR-276-3p	dpe-mir-276a	0	0	0	0	2	5
bmo-miR-276-3p	dps-mir-276a	0	0	0	0	2	5
bmo-miR-13b-3p	dqu-mir-13b	0	0	0	0	1	0
bmo-miR-8-5p	dqu-mir-8	0	0	0	0	4	1
bmo-miR-9a-5p	dqu-mir-9	0	0	0	0	1	0
bmo-let-7-5p	dre-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	dre-let-7a-5	0	0	0	0	3	0
bmo-let-7-5p	dre-let-7a-6	0	0	0	0	3	0
bmo-miR-276-3p	dse-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dse-mir-2a-1	0	0	0	0	1	0
bmo-miR-276-3p	dsi-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dsi-mir-2a-1	0	0	0	0	1	0
bmo-miR-276-3p	dvi-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dvi-mir-2a-1	0	0	0	0	1	0
bmo-miR-965-3p	dvi-mir-965	0	0	0	0	1	0
bmo-miR-276-3p	dwi-mir-276a	0	0	0	0	2	5
bmo-miR-276-3p	dya-mir-276a	0	0	0	0	2	5
bmo-miR-2a-3p	dya-mir-2a-1	0	0	0	0	1	0
bmo-let-7-5p	eca-let-7a-2	0	0	0	0	3	0
bmo-let-7-5p	fru-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	gga-let-7j	0	0	0	0	3	0
bmo-let-7-5p	ggo-let-7a	0	0	0	0	3	0
bmo-let-7-5p	gmo-let-7a-3	0	0	0	0	1	0
bmo-let-7-5p	gmo-let-7a-4	0	0	0	0	3	0
bmo-let-7-5p	gmo-let-7a-5	0	0	0	0	3	0
bmo-miR-7-5p	gmo-mir-7a-2	0	0	0	0	1	2
bmo-let-7-5p	hme-let-7	0	0	0	0	1	3
bmo-miR-252-5p	hme-mir-252	0	0	0	0	1	1
bmo-miR-278-3p	hme-mir-278	0	0	0	0	1	0
bmo-miR-306a-5p	hme-mir-306	0	0	0	0	2	7
bmo-let-7-5p	hsa-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	ipu-let-7a-1	0	0	0	0	1	0
bmo-let-7-5p	ipu-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	ipu-let-7a-5	0	0	0	0	3	0
bmo-let-7-5p	ipu-let-7a-6	0	0	0	0	3	0
bmo-let-7-5p	ipu-let-7a-7	0	0	0	0	1	0
bmo-miR-275-3p	isc-mir-275	0	0	0	0	3	3
bmo-let-7-5p	mdo-let-7a-3	0	0	0	0	3	0
bmo-miR-184-3p	mle-mir-184	0	0	0	0	1	0
bmo-let-7-5p	mml-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	mmr-let-7a-1	0	0	0	0	3	0
bmo-let-7-3p	mse-let-7a	0	0	0	0	1	0
bmo-miR-252-5p	mse-mir-252	0	0	0	0	1	2
bmo-miR-278-3p	mse-mir-278	0	0	0	0	1	0
bmo-let-7-5p	mze-let-7a-2	0	0	0	0	1	0
bmo-let-7-5p	mze-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	mze-let-7a-4	0	0	0	0	1	0
bmo-let-7-5p	mze-let-7a-6	0	0	0	0	3	0
bmo-let-7-5p	nbr-let-7a-2	0	0	0	0	1	0
bmo-let-7-5p	nbr-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	nbr-let-7a-4	0	0	0	0	1	0
bmo-let-7-5p	nbr-let-7a-6	0	0	0	0	3	0
bmo-let-7-5p	ngi-let-7	0	0	0	0	1	1
bmo-miR-252-5p	ngi-mir-252	0	0	0	0	1	1
bmo-miR-9a-5p	ngi-mir-9a	0	0	0	0	1	0
bmo-let-7-5p	nle-let-7a-1	0	0	0	0	3	0
bmo-miR-252-5p	nlo-mir-252	0	0	0	0	1	1
bmo-miR-9a-5p	nlo-mir-9a	0	0	0	0	1	0
bmo-let-7-5p	nvi-let-7	0	0	0	0	1	1
bmo-miR-13b-3p	nvi-mir-13b	0	0	0	0	1	0
bmo-miR-252-5p	nvi-mir-252	0	0	0	0	1	1
bmo-miR-9a-5p	nvi-mir-9a	0	0	0	0	1	0
bmo-let-7-5p	ocu-let-7a-1	0	0	0	0	1	0
bmo-let-7-5p	ocu-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	oga-let-7a-1	0	0	0	0	3	0
bmo-let-7-5p	oha-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	ola-let-7a-2	0	0	0	0	3	0
bmo-let-7-5p	oni-let-7a-2	0	0	0	0	1	0
bmo-let-7-5p	oni-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	oni-let-7a-4	0	0	0	0	1	0
bmo-let-7-5p	oni-let-7a-6	0	0	0	0	3	0
bmo-let-7-5p	pal-let-7a-1	0	0	0	0	3	0
bmo-let-7-5p	pbv-let-7a-3	0	0	0	0	3	0
bmo-miR-9a-5p	pca-mir-9	0	0	0	0	1	0
bmo-let-7-5p	pha-let-7a-1	0	0	0	0	3	0
bmo-let-7-5p	pma-let-7a-3	0	0	0	0	3	3
bmo-miR-100	pmi-mir-100	0	0	0	0	2	0
bmo-let-7-5p	pny-let-7a-2	0	0	0	0	1	0
bmo-let-7-5p	pny-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	pny-let-7a-4	0	0	0	0	1	0
bmo-let-7-5p	pny-let-7a-6	0	0	0	0	3	0
bmo-let-7-5p	ppa-let-7a-1	0	0	0	0	3	0
bmo-let-7-5p	ppy-let-7a-3	0	0	0	0	3	0
bmo-let-7-5p	prd-let-7	0	0	0	0	1	0
bmo-miR-100	pte-mir-100b	0	0	0	0	1	4
bmo-let-7-5p	ptr-let-7a-3	0	0	0	0	3	0
bmo-miR-252-5p	pxy-mir-252	0	0	0	0	1	2
bmo-let-7-5p	ssa-let-7a-3	0	0	0	0	1	0
bmo-let-7-5p	ssa-let-7a-4	0	0	0	0	3	0
bmo-let-7-5p	ssa-let-7a-5	0	0	0	0	3	0
bmo-miR-100	ssa-mir-100a-2	0	0	0	0	2	0
bmo-miR-277-3p	tca-mir-277	0	0	0	0	1	0
bmo-miR-184-3p	tcf-mir-184	0	0	0	0	1	0
bmo-let-7-5p	tgu-let-7a-4	0	0	0	0	3	0
bmo-let-7-5p	tni-let-7a-3	0	0	0	0	3	0
bmo-miR-275-3p	aga-mir-275	0	0	0	0	0	1
bmo-miR-2733e	bmo-mir-2733e-1	0	0	0	0	0	1
bmo-miR-2758-5p	bmo-mir-2758	0	0	0	0	0	1
bmo-miR-970-3p	bmo-mir-970	0	0	0	0	0	3
bmo-miR-9c-3p	bmo-mir-9c	0	0	0	0	0	1
bmo-miR-9d	bmo-mir-9d	0	0	0	0	0	2
bmo-miR-7-5p	cin-mir-7	0	0	0	0	0	1
bmo-miR-252-5p	cte-mir-252a	0	0	0	0	0	1
bmo-let-7-5p	der-let-7	0	0	0	0	0	1
bmo-let-7-5p	dgr-let-7-1	0	0	0	0	0	1
bmo-let-7-5p	dgr-let-7-2	0	0	0	0	0	1
bmo-let-7-5p	dme-let-7	0	0	0	0	0	1
bmo-miR-252-5p	dme-mir-252	0	0	0	0	0	1
bmo-let-7-5p	dmo-let-7	0	0	0	0	0	1
bmo-let-7-5p	dpe-let-7-1	0	0	0	0	0	1
bmo-let-7-5p	dpe-let-7-2	0	0	0	0	0	1
bmo-let-7-5p	dps-let-7	0	0	0	0	0	1
bmo-miR-252-5p	dps-mir-252	0	0	0	0	0	1
bmo-miR-275-3p	dpu-mir-275	0	0	0	0	0	1
bmo-let-7-5p	dse-let-7	0	0	0	0	0	1
bmo-let-7-5p	dsi-let-7	0	0	0	0	0	1
bmo-miR-252-5p	dsi-mir-252	0	0	0	0	0	1
bmo-let-7-5p	dvi-let-7	0	0	0	0	0	1
bmo-miR-252-5p	dvi-mir-252	0	0	0	0	0	1
bmo-let-7-5p	dwi-let-7	0	0	0	0	0	1
bmo-let-7-5p	dya-let-7	0	0	0	0	0	1
bmo-miR-2a-3p	hme-mir-2b	0	0	0	0	0	1
bmo-miR-2a-3p	mse-mir-2b	0	0	0	0	0	1
bmo-miR-1a-3p	ngi-mir-1	0	0	0	0	0	2
bmo-miR-8-5p	nlo-mir-8	0	0	0	0	0	3
bmo-miR-1a-3p	nvi-mir-1	0	0	0	0	0	2
bmo-miR-8-5p	nvi-mir-8	0	0	0	0	0	3
bmo-miR-1a-3p	pca-mir-1	0	0	0	0	0	2
bmo-miR-7-5p	pma-mir-7a-2	0	0	0	0	0	1
bmo-miR-7-5p	pmi-mir-7	0	0	0	0	0	2
bmo-miR-11-3p	sfr-mir-11	0	0	0	0	0	1
bmo-miR-14-3p	tca-mir-14	0	0	0	0	0	2
bmo-miR-252-5p	tca-mir-252a	0	0	0	0	0	1
bmo-miR-8-5p	tca-mir-8	0	0	0	0	0	3
